US_State,Agency,Unit_ID,Unit_Region,Fire_Name,Inc_Num,Date_Reported,Containment_Date,Fire_Comments,GIS_ACRES
CA,LRA,LNU,Sonoma-Lake- Napa,FAIRFIELD,4514.0,7/4/2006,7/4/06,FIREWORKS FIRE IN CITY OF FAIRFIEDL OPEN SPACE,55.480427
CA,LRA,LNU,Sonoma-Lake- Napa,ZAM ASSIST,7271.0,9/22/2006,9/22/06,LRA Fire,13968.875
CA,CDF,LNU,Sonoma-Lake- Napa,HILL,11673.0,7/24/2020,7/24/20,Matt Maxwell,139.1295
CA,CDF,LNU,Sonoma-Lake- Napa,BRIM,11354.0,7/19/2020,7/19/20,Dennis Lange,21.924601
CA,CDF,LNU,Sonoma-Lake- Napa,SITES,12277.0,8/2/2020,8/2/20,Jason Brown,569.51337
CA,CDF,LNU,Sonoma-Lake- Napa,POPE,17668.0,10/23/2020,10/23/20,Marc Hottendorf,64.28315
CA,CDF,LNU,Sonoma-Lake- Napa,LYONS,16978.0,10/13/2020,10/13/20,Steve Hansen,25.58551
CA,CDF,LNU,Sonoma-Lake- Napa,SALT,16501.0,10/5/2020,10/5/20,Carrie Pell,86.66375
CA,CDF,LNU,Sonoma-Lake- Napa,CATHOLIC,14325.0,9/1/2020,9/1/20,Rion Allbaugh,22.234919
CA,CDF,LNU,Sonoma-Lake- Napa,URSULINE,15761.0,9/21/2020,9/21/20,Brion Borba,11.931836
CA,CDF,LNU,Sonoma-Lake- Napa,SIERRA,7631.0,5/24/2020,5/24/20,Scott Weese,17.904806
CA,CDF,LNU,Sonoma-Lake- Napa,STAGE,15702.0,9/23/2020,9/23/20,Scott Weese,26.567816
CA,CDF,LNU,Sonoma-Lake- Napa,INDIAN,14015.0,8/26/2020,8/26/20,John Wilson,20.427343
CA,CDF,LNU,Sonoma-Lake- Napa,KIRKLAND,11819.0,7/27/2020,7/27/20,Kole Oliver,21.10397
