Animal ID,Animal Type,Breed,Size,Intake Date,Outcome Type,Outcome Zip Code,Intake Jurisdiction,Outcome Jurisdiction,Location
A412797,CAT,SIAMESE,KITTN,08/08/2022,TRANSFER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A412786,CAT,DOMESTIC SH,KITTN,08/09/2022,,,COUNTY,,
A412794,CAT,SIAMESE,KITTN,08/08/2022,TRANSFER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A412795,CAT,SIAMESE,KITTN,08/08/2022,TRANSFER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A412222,CAT,DOMESTIC SH,SMALL,06/30/2022,TRANSFER,94574.0,COUNTY,OUT OF COUNTY,"94574(38.525993, -122.432854)"
A412310,DOG,GERM SHEPHERD/MIX,LARGE,07/05/2022,,94954.0,COUNTY,*PETALUMA,"94954(38.245316, -122.59871)"
A412709,CAT,DOMESTIC SH,SMALL,08/03/2022,TRANSFER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A412785,CAT,DOMESTIC SH,KITTN,08/09/2022,,,COUNTY,,
A412781,DOG,GERM SHEPHERD/MIX,LARGE,08/09/2022,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A411219,DOG,PIT BULL,MED,04/25/2022,,,SANTA ROSA,,
A412793,CAT,DOMESTIC SH,SMALL,08/09/2022,EUTHANIZE,,SANTA ROSA,,
A412787,CAT,DOMESTIC SH,KITTN,08/09/2022,,,COUNTY,,
A412788,DOG,GERM SHEPHERD,LARGE,08/09/2022,,,COUNTY,,
A410926,DOG,AUST CATTLE DOG,MED,04/11/2022,RETURN TO OWNER,95407.0,SANTA ROSA,SANTA ROSA,"95407(38.403734, -122.736775)"
A412211,DOG,PIT BULL,SMALL,08/04/2022,RETURN TO OWNER,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A412796,CAT,SIAMESE,KITTN,08/08/2022,TRANSFER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A412664,CAT,DOMESTIC SH,SMALL,07/29/2022,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
A405531,DOG,PIT BULL,MED,08/08/2022,,95401.0,SANTA ROSA,SANTA ROSA,"95401(38.446019, -122.766748)"
A412767,CAT,SIAMESE,SMALL,08/08/2022,TRANSFER,95403.0,SANTA ROSA,SANTA ROSA,"95403(38.486997, -122.749134)"
A412625,CAT,DOMESTIC LH,SMALL,07/27/2022,TRANSFER,95403.0,COUNTY,SANTA ROSA,"95403(38.486997, -122.749134)"
