Zip Code,City,County,State,Latitude,Longitude
90001,Los Angeles,Los Angeles County,CA,33.97,-118.24
90002,Los Angeles,Los Angeles County,CA,33.94,-118.24
90003,Los Angeles,Los Angeles County,CA,33.96,-118.27
90004,Los Angeles,Los Angeles County,CA,34.07,-118.31
90005,Los Angeles,Los Angeles County,CA,34.06,-118.31
90006,Los Angeles,Los Angeles County,CA,34.05,-118.29
90007,Los Angeles,Los Angeles County,CA,34.02,-118.28
90008,Los Angeles,Los Angeles County,CA,34.01,-118.35
90009,Los Angeles,Los Angeles County,CA,33.94,-118.38
90010,Los Angeles,Los Angeles County,CA,34.06,-118.32
90011,Los Angeles,Los Angeles County,CA,34,-118.25
90012,Los Angeles,Los Angeles County,CA,34.06,-118.24
90013,Los Angeles,Los Angeles County,CA,34.05,-118.24
90014,Los Angeles,Los Angeles County,CA,34.04,-118.25
90015,Los Angeles,Los Angeles County,CA,34.03,-118.26
90016,Los Angeles,Los Angeles County,CA,34.02,-118.35
90017,Los Angeles,Los Angeles County,CA,34.05,-118.26
90018,Los Angeles,Los Angeles County,CA,34.02,-118.31
90019,Los Angeles,Los Angeles County,CA,34.04,-118.34
90020,Los Angeles,Los Angeles County,CA,34.07,-118.31
90021,Los Angeles,Los Angeles County,CA,34.03,-118.24
90022,Los Angeles,Los Angeles County,CA,34.02,-118.15
90023,Los Angeles,Los Angeles County,CA,34.02,-118.2
90024,Los Angeles,Los Angeles County,CA,34.06,-118.43
90025,Los Angeles,Los Angeles County,CA,34.04,-118.44
90026,Los Angeles,Los Angeles County,CA,34.07,-118.26
90027,Los Angeles,Los Angeles County,CA,34.12,-118.28
90028,Los Angeles,Los Angeles County,CA,34.1,-118.32
90029,Los Angeles,Los Angeles County,CA,34.09,-118.29
90030,Los Angeles,Los Angeles County,CA,34.06,-118.23
90031,Los Angeles,Los Angeles County,CA,34.09,-118.21
90032,Los Angeles,Los Angeles County,CA,34.08,-118.17
90033,Los Angeles,Los Angeles County,CA,34.04,-118.21
90034,Los Angeles,Los Angeles County,CA,34.03,-118.4
90035,Los Angeles,Los Angeles County,CA,34.05,-118.38
90036,Los Angeles,Los Angeles County,CA,34.06,-118.35
90037,Los Angeles,Los Angeles County,CA,34,-118.28
90038,Los Angeles,Los Angeles County,CA,34.09,-118.33
90039,Los Angeles,Los Angeles County,CA,34.11,-118.26
90040,Los Angeles,Los Angeles County,CA,33.99,-118.14
90041,Los Angeles,Los Angeles County,CA,34.13,-118.2
90042,Los Angeles,Los Angeles County,CA,34.11,-118.19
90043,Los Angeles,Los Angeles County,CA,33.98,-118.33
90044,Los Angeles,Los Angeles County,CA,33.95,-118.29
90045,Los Angeles,Los Angeles County,CA,33.95,-118.4
90046,Los Angeles,Los Angeles County,CA,34.11,-118.36
90047,Los Angeles,Los Angeles County,CA,33.95,-118.31
90048,Los Angeles,Los Angeles County,CA,34.07,-118.37
90049,Los Angeles,Los Angeles County,CA,34.08,-118.49
90050,Los Angeles,Los Angeles County,CA,34.12,-118.2
90051,Los Angeles,Los Angeles County,CA,34.06,-118.24
90052,Los Angeles,Los Angeles County,CA,33.97,-118.25
90053,Los Angeles,Los Angeles County,CA,34.05,-118.23
90054,Los Angeles,Los Angeles County,CA,34.06,-118.23
90055,Los Angeles,Los Angeles County,CA,34.04,-118.25
90056,Los Angeles,Los Angeles County,CA,33.99,-118.37
90057,Los Angeles,Los Angeles County,CA,34.06,-118.27
90058,Los Angeles,Los Angeles County,CA,34,-118.21
90059,Los Angeles,Los Angeles County,CA,33.93,-118.25
90060,Los Angeles,Los Angeles County,CA,33.99,-118.42
90061,Los Angeles,Los Angeles County,CA,33.92,-118.27
90062,Los Angeles,Los Angeles County,CA,34,-118.31
90063,Los Angeles,Los Angeles County,CA,34.04,-118.18
90064,Los Angeles,Los Angeles County,CA,34.03,-118.43
90065,Los Angeles,Los Angeles County,CA,34.1,-118.22
90066,Los Angeles,Los Angeles County,CA,34,-118.43
90067,Los Angeles,Los Angeles County,CA,34.06,-118.41
90068,Los Angeles,Los Angeles County,CA,34.13,-118.33
90069,West Hollywood,Los Angeles County,CA,34.09,-118.38
90070,Los Angeles,Los Angeles County,CA,34.06,-118.31
90071,Los Angeles,Los Angeles County,CA,34.05,-118.25
90072,Los Angeles,Los Angeles County,CA,34.09,-118.3
90073,Los Angeles,Los Angeles County,CA,34.05,-118.45
90074,Los Angeles,Los Angeles County,CA,34.05,-118.26
90075,Los Angeles,Los Angeles County,CA,34.06,-118.31
90076,Los Angeles,Los Angeles County,CA,34.06,-118.31
90077,Los Angeles,Los Angeles County,CA,34.1,-118.45
90078,Los Angeles,Los Angeles County,CA,34.1,-118.32
90079,Los Angeles,Los Angeles County,CA,34.04,-118.26
90080,Los Angeles,Los Angeles County,CA,33.95,-118.39
90081,Los Angeles,Los Angeles County,CA,34.05,-118.26
90082,Los Angeles,Los Angeles County,CA,34,-118.27
90083,Los Angeles,Los Angeles County,CA,33.95,-118.39
90084,Los Angeles,Los Angeles County,CA,34.05,-118.26
90086,Los Angeles,Los Angeles County,CA,34.06,-118.23
90087,Los Angeles,Los Angeles County,CA,34.06,-118.23
90088,Los Angeles,Los Angeles County,CA,34.05,-118.26
90089,Los Angeles,Los Angeles County,CA,34.02,-118.29
90090,Dodgertown,Los Angeles County,CA,34.07,-118.24
90091,Los Angeles,Los Angeles County,CA,33.99,-118.15
90093,Los Angeles,Los Angeles County,CA,34.09,-118.33
90094,Playa Vista,Los Angeles County,CA,33.98,-118.42
90095,Los Angeles,Los Angeles County,CA,34.07,-118.44
90096,Los Angeles,Los Angeles County,CA,33.96,-118.17
90099,Los Angeles,Los Angeles County,CA,34.06,-118.23
90101,Los Angeles,Los Angeles County,CA,33.99,-118.16
90102,Los Angeles,Los Angeles County,CA,34.01,-118.19
90103,Los Angeles,Los Angeles County,CA,33.99,-118.16
90134,Los Angeles,Los Angeles County,CA,34.05,-118.25
90189,Los Angeles,Los Angeles County,CA,34.06,-118.25
90201,Bell Gardens,Los Angeles County,CA,33.97,-118.15
90202,Bell,Los Angeles County,CA,33.96,-118.15
90209,Beverly Hills,Los Angeles County,CA,34.07,-118.39
90210,Beverly Hills,Los Angeles County,CA,34.09,-118.41
90211,Beverly Hills,Los Angeles County,CA,34.06,-118.38
90212,Beverly Hills,Los Angeles County,CA,34.06,-118.4
90213,Beverly Hills,Los Angeles County,CA,34.05,-118.4
90220,Compton,Los Angeles County,CA,33.87,-118.24
90221,Compton,Los Angeles County,CA,33.87,-118.21
90222,Compton,Los Angeles County,CA,33.91,-118.23
90223,Compton,Los Angeles County,CA,33.89,-118.22
90224,Compton,Los Angeles County,CA,33.87,-118.26
90230,Culver City,Los Angeles County,CA,33.99,-118.39
90231,Culver City,Los Angeles County,CA,33.99,-118.39
90232,Culver City,Los Angeles County,CA,34.02,-118.39
90233,Culver City,Los Angeles County,CA,33.98,-118.38
90239,Downey,Los Angeles County,CA,33.93,-118.11
90240,Downey,Los Angeles County,CA,33.95,-118.12
90241,Downey,Los Angeles County,CA,33.94,-118.13
90242,Downey,Los Angeles County,CA,33.92,-118.14
90245,El Segundo,Los Angeles County,CA,33.91,-118.4
90247,Gardena,Los Angeles County,CA,33.89,-118.29
90248,Gardena,Los Angeles County,CA,33.88,-118.28
90249,Gardena,Los Angeles County,CA,33.89,-118.31
90250,Hawthorne,Los Angeles County,CA,33.91,-118.34
90251,Hawthorne,Los Angeles County,CA,33.91,-118.36
90254,Hermosa Beach,Los Angeles County,CA,33.86,-118.39
90255,Huntington Park,Los Angeles County,CA,33.97,-118.21
90260,Lawndale,Los Angeles County,CA,33.88,-118.35
90261,Lawndale,Los Angeles County,CA,33.89,-118.37
90262,Lynwood,Los Angeles County,CA,33.92,-118.2
90263,Malibu,Los Angeles County,CA,34.04,-118.71
90264,Malibu,Los Angeles County,CA,34.04,-118.77
90265,Malibu,Los Angeles County,CA,34.06,-118.81
90266,Manhattan Beach,Los Angeles County,CA,33.88,-118.4
90267,Manhattan Beach,Los Angeles County,CA,33.87,-118.39
90270,Maywood,Los Angeles County,CA,33.99,-118.19
90272,Pacific Palisades,Los Angeles County,CA,34.07,-118.54
90274,Palos Verdes Peninsula,Los Angeles County,CA,33.77,-118.34
90275,Rancho Palos Verdes,Los Angeles County,CA,33.75,-118.31
90277,Redondo Beach,Los Angeles County,CA,33.83,-118.38
90278,Redondo Beach,Los Angeles County,CA,33.87,-118.37
90280,South Gate,Los Angeles County,CA,33.94,-118.2
90290,Topanga,Los Angeles County,CA,34.1,-118.6
90291,Venice,Los Angeles County,CA,33.99,-118.46
90292,Marina Del Rey,Los Angeles County,CA,33.98,-118.46
90293,Playa Del Rey,Los Angeles County,CA,33.94,-118.44
90294,Venice,Los Angeles County,CA,33.98,-118.47
